score,mandatory_review,role_category,company,title,location,location_priority,years_min,years_max,is_internship,resume_to_use,ats_score,tailored,resume_file,source,ats,final_url,url
90.0,1,swe,Adani,Senior Engineer – Digital Solutions and AI Integration,"Ahmedabad, Gujarat",ahmedabad,0,2,0,swe,20.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_SWE.pdf,adzuna,company_site,https://www.adzuna.in/details/5877282723?utm_medium=api&utm_source=93a24393,https://www.adzuna.in/details/5877282723?utm_medium=api&utm_source=93a24393
90.0,1,swe,eInfochips ,Senior Java Software Engineer,"Ahmedabad, Gujarat",ahmedabad,0,2,0,swe,0.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_SWE.pdf,adzuna,company_site,https://www.adzuna.in/land/ad/5876028908?se=RiyFmW-s8RGxxJIBlTg-jQ&utm_medium=api&utm_source=93a24393&v=BBCB40BA47D1831F6513B872046E15A989986817,https://www.adzuna.in/land/ad/5876028908?se=RiyFmW-s8RGxxJIBlTg-jQ&utm_medium=api&utm_source=93a24393&v=BBCB40BA47D1831F6513B872046E15A989986817
90.0,1,swe,Parshva Corp dba Aavgo,Senior Engineering Manager,"Ahmedabad, Gujarat",ahmedabad,0,2,0,analyst,100.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,adzuna,company_site,https://www.adzuna.in/land/ad/5876025423?se=RiyFmW-s8RGxxJIBlTg-jQ&utm_medium=api&utm_source=93a24393&v=97C00658010004E273FF1A0D17CB9657A5E032AD,https://www.adzuna.in/land/ad/5876025423?se=RiyFmW-s8RGxxJIBlTg-jQ&utm_medium=api&utm_source=93a24393&v=97C00658010004E273FF1A0D17CB9657A5E032AD
90.0,1,swe,Codal,Senior Software Engineer - Full Stack,"Ahmedabad, Gujarat",ahmedabad,0,2,0,swe,70.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_SWE.pdf,adzuna,company_site,https://www.adzuna.in/details/5877297350?utm_medium=api&utm_source=93a24393,https://www.adzuna.in/details/5877297350?utm_medium=api&utm_source=93a24393
70.0,1,other,Acclime,Senior Data Engineer,"Ahmedabad, Gujarat",ahmedabad,0,2,0,analyst,0.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,adzuna,company_site,https://www.adzuna.in/land/ad/5864424833?se=PIiWlW-s8RGxxJIBlTg-jQ&utm_medium=api&utm_source=93a24393&v=A87CE857374FFE8579B824B7C2F13300EE0C43AA,https://www.adzuna.in/land/ad/5864424833?se=PIiWlW-s8RGxxJIBlTg-jQ&utm_medium=api&utm_source=93a24393&v=A87CE857374FFE8579B824B7C2F13300EE0C43AA
70.0,1,other,Acclime,Senior Data Engineer,"Ahmedabad, Gujarat",ahmedabad,0,2,0,analyst,0.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,adzuna,company_site,https://www.adzuna.in/land/ad/5864424833?se=VEYEmG-s8RGxxJIBlTg-jQ&utm_medium=api&utm_source=93a24393&v=A87CE857374FFE8579B824B7C2F13300EE0C43AA,https://www.adzuna.in/land/ad/5864424833?se=VEYEmG-s8RGxxJIBlTg-jQ&utm_medium=api&utm_source=93a24393&v=A87CE857374FFE8579B824B7C2F13300EE0C43AA
70.0,1,swe,Tipsons Group,Senior Software Engineer,"Ahmedabad, Gujarat",ahmedabad,4,6,0,swe,70.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_SWE.pdf,adzuna,company_site,https://www.adzuna.in/land/ad/5876873179?se=RiyFmW-s8RGxxJIBlTg-jQ&utm_medium=api&utm_source=93a24393&v=BDBAF6A8FD29C9D7CA4CDD99AB82240F29DF521C,https://www.adzuna.in/land/ad/5876873179?se=RiyFmW-s8RGxxJIBlTg-jQ&utm_medium=api&utm_source=93a24393&v=BDBAF6A8FD29C9D7CA4CDD99AB82240F29DF521C
70.0,1,other,MSBC Group,Solutions Architect,"Ahmedabad, Gujarat",ahmedabad,0,2,0,analyst,0.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,adzuna,company_site,https://www.adzuna.in/land/ad/5876027335?se=RiyFmW-s8RGxxJIBlTg-jQ&utm_medium=api&utm_source=93a24393&v=19E1900E6A09D60BC6131DEB4B89D7FF03A7F39E,https://www.adzuna.in/land/ad/5876027335?se=RiyFmW-s8RGxxJIBlTg-jQ&utm_medium=api&utm_source=93a24393&v=19E1900E6A09D60BC6131DEB4B89D7FF03A7F39E
70.0,1,other,SKIPS University,Assistant Professor of Computer Science,"Ahmedabad, Gujarat",ahmedabad,0,2,0,analyst,70.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,adzuna,company_site,https://www.adzuna.in/land/ad/5854366226?se=RiyFmW-s8RGxxJIBlTg-jQ&utm_medium=api&utm_source=93a24393&v=489820ACC755BE7FF58D67DE393566074CE57CC0,https://www.adzuna.in/land/ad/5854366226?se=RiyFmW-s8RGxxJIBlTg-jQ&utm_medium=api&utm_source=93a24393&v=489820ACC755BE7FF58D67DE393566074CE57CC0
70.0,1,other,Armakuni,Senior Technical Project Manager,"Ahmedabad, Gujarat",ahmedabad,0,2,0,analyst,0.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,adzuna,company_site,https://www.adzuna.in/land/ad/5872265972?se=RiyFmW-s8RGxxJIBlTg-jQ&utm_medium=api&utm_source=93a24393&v=D60DD04C0705A94FAA595F62A416267A3CEF45EF,https://www.adzuna.in/land/ad/5872265972?se=RiyFmW-s8RGxxJIBlTg-jQ&utm_medium=api&utm_source=93a24393&v=D60DD04C0705A94FAA595F62A416267A3CEF45EF
